year,country,population,cement_co2,cement_co2_per_capita,co2,co2 (GCP),co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_per_capita,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2 (GCP),consumption_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1991,Africa,661103806.0,24.384,0.037,687.67,687.663,29.327,4.455,1658.243,96.395,6.172,2.512,1.042,306.5,0.464,606.85,606.85,0.919,443.088,16613.869,85769.586,8662.572,1334.739,753.36,110526.391,5420.11,0.0,20.799,0.032,78.466,0.119,2.016,4.494,969.377,1.468,983.942,1.488,283.538,0.429,257.521,0.39,0.0,0.0,4.797,2.966,5.889,3.557,3.464,1.997,5.774,1.939,15.789,0.908,16.802,1.942,0.0,7.59,2.029,19.505,2.654,0.0,8.117,0.033,0.043,0.081,0.005,2971.052,1332.476,-80.821,-11.753
1992,Africa,678558076.0,24.768,0.037,666.66,666.653,-21.01,-3.055,1838.861,180.617,10.892,2.714,0.984,288.338,0.426,619.978,619.978,0.915,467.855,17280.529,87608.453,8950.91,1357.973,827.632,111696.078,5676.159,0.0,23.233,0.034,74.272,0.11,1.954,4.515,1169.693,1.726,1000.285,1.474,290.115,0.428,256.048,0.378,0.0,0.0,4.679,2.959,6.618,3.428,3.512,2.022,5.79,1.967,15.617,0.952,16.845,1.969,0.0,9.61,1.894,22.246,2.78,0.0,8.144,0.033,0.044,0.083,0.006,3063.356,1325.939,-46.682,-7.002
1993,Africa,696621727.0,24.414,0.035,706.442,706.431,39.782,5.967,1947.653,108.792,5.916,2.8,1.016,318.584,0.458,643.034,643.034,0.924,492.269,17986.969,89556.102,9269.495,1379.565,909.353,112933.875,5936.289,0.0,21.592,0.031,81.721,0.117,1.984,4.484,1237.788,1.779,1015.053,1.457,292.83,0.42,260.13,0.374,0.0,0.0,4.421,3.104,7.024,3.743,3.549,2.05,5.812,1.999,15.45,1.0,16.905,1.996,0.0,9.236,2.03,24.886,2.822,0.0,8.171,0.034,0.044,0.084,0.006,3123.851,1382.346,-63.408,-8.976
1994,Africa,714502658.0,24.884,0.035,790.234,790.223,83.792,11.861,2227.859,280.207,14.387,3.122,1.108,330.423,0.463,715.96,715.96,1.003,517.153,18777.205,91783.961,9599.917,1472.377,994.942,114371.5,6192.814,0.0,92.812,0.13,85.589,0.12,2.131,4.752,1437.637,2.015,1078.401,1.509,295.462,0.414,256.525,0.36,0.0,0.0,4.222,3.437,7.714,3.86,3.576,2.086,5.847,2.033,15.928,1.047,16.97,2.019,0.0,29.493,2.107,24.411,2.773,0.0,8.217,0.035,0.045,0.086,0.006,3395.308,1522.475,-74.274,-9.399
1995,Africa,732695476.0,26.9,0.037,844.549,844.538,54.316,6.873,2240.975,13.116,0.589,3.063,1.154,346.584,0.474,751.825,751.825,1.028,544.053,19621.752,94024.93,9946.502,1576.66,1096.498,115767.945,6458.041,0.0,104.283,0.143,101.556,0.139,2.229,4.723,1396.437,1.909,1140.113,1.556,300.409,0.41,265.227,0.363,0.0,0.0,4.314,3.589,7.737,3.937,3.607,2.124,5.881,2.068,16.474,1.105,17.04,2.043,0.0,31.955,2.408,25.706,2.841,0.0,8.275,0.036,0.046,0.088,0.006,3460.717,1632.852,-92.724,-10.979
1996,Africa,751473728.0,27.419,0.037,872.284,872.273,27.735,3.284,2162.979,-77.996,-3.48,2.882,1.162,352.718,0.47,751.85,751.85,1.002,571.472,20494.037,96187.914,10299.22,1696.322,1204.517,117058.648,6722.506,0.0,119.662,0.159,108.019,0.144,2.308,4.713,1290.706,1.72,1217.515,1.62,310.939,0.414,264.465,0.352,0.0,0.0,4.309,3.596,7.145,3.908,3.635,2.161,5.905,2.102,17.099,1.162,17.079,2.064,0.0,34.149,2.452,21.467,2.749,0.0,8.333,0.037,0.047,0.09,0.006,3541.379,1734.621,-120.434,-13.807
1997,Africa,770384702.0,27.539,0.036,893.938,893.927,21.654,2.482,2197.585,34.606,1.6,2.857,1.162,360.178,0.468,772.1,772.1,1.004,599.011,21387.977,98385.5,10659.397,1804.205,1299.722,118362.305,7025.641,0.0,107.882,0.14,95.205,0.124,2.235,4.658,1303.657,1.695,1198.982,1.556,304.642,0.395,303.134,0.394,0.0,0.0,4.158,3.663,6.909,4.012,3.656,2.199,5.924,2.136,17.562,1.203,17.085,2.094,0.0,30.581,2.154,17.601,3.104,0.0,8.378,0.038,0.048,0.092,0.006,3588.715,1721.831,-121.838,-13.629
1998,Africa,789981698.0,28.57,0.036,912.482,912.471,18.544,2.074,2325.196,127.611,5.807,2.948,1.157,354.754,0.45,819.251,819.251,1.039,627.581,22300.459,100710.695,11014.152,1905.478,1412.435,119775.023,7340.813,0.0,101.273,0.128,112.713,0.143,2.193,4.683,1412.725,1.791,1204.311,1.524,328.795,0.416,315.172,0.4,0.0,0.0,4.328,3.754,7.637,4.061,3.682,2.237,5.955,2.169,17.959,1.255,17.136,2.126,0.0,30.097,2.523,22.992,3.189,0.0,8.435,0.039,0.049,0.094,0.006,3699.745,1732.58,-93.231,-10.217
1999,Africa,810079818.0,29.73,0.037,899.879,899.868,-12.603,-1.381,2182.751,-142.446,-6.126,2.698,1.112,365.712,0.452,785.979,785.979,0.972,657.311,23200.338,102893.445,11379.864,2001.953,1526.812,121057.914,7634.396,0.0,96.476,0.119,114.377,0.141,2.117,4.474,1282.883,1.586,1204.598,1.487,326.118,0.403,293.584,0.363,0.0,0.0,4.292,3.621,7.074,4.126,3.706,2.271,5.975,2.203,18.299,1.304,17.172,2.148,0.0,29.237,2.479,21.371,2.897,0.0,8.474,0.04,0.05,0.096,0.007,3624.575,1715.038,-113.9,-12.657
2000,Africa,830582806.0,30.897,0.037,930.851,930.84,30.972,3.442,2233.234,50.483,2.313,2.693,1.122,370.01,0.446,733.342,733.342,0.884,688.209,24131.189,105126.68,11749.875,2105.333,1641.16,122360.305,7946.612,0.0,103.38,0.125,114.348,0.138,2.156,4.458,1302.394,1.57,1253.283,1.509,332.879,0.401,312.215,0.376,0.0,0.0,4.268,3.649,7.249,4.021,3.728,2.304,5.997,2.235,18.653,1.347,17.228,2.173,0.0,29.786,2.407,24.586,3.04,0.0,8.523,0.041,0.051,0.098,0.007,3702.621,1790.801,-197.509,-21.218
2001,Africa,851690329.0,32.412,0.038,920.602,920.591,-10.249,-1.101,2151.343,-81.891,-3.667,2.53,1.082,371.74,0.437,749.353,749.353,0.881,720.62,25051.789,107278.023,12121.614,2203.533,1761.286,123591.055,8244.736,0.0,98.2,0.115,120.126,0.141,2.081,4.244,1230.752,1.447,1239.626,1.455,325.107,0.382,298.125,0.351,0.0,0.0,4.28,3.581,7.06,4.016,3.75,2.335,6.015,2.265,18.959,1.391,17.285,2.192,0.0,29.254,2.505,25.828,2.881,0.0,8.577,0.042,0.052,0.101,0.007,3614.512,1772.403,-171.249,-18.602
2002,Africa,873411364.0,34.928,0.04,899.996,899.985,-20.606,-2.238,2369.119,217.776,10.123,2.716,1.032,360.666,0.414,740.585,740.585,0.849,755.549,25951.785,109647.141,12482.28,2286.031,1895.64,125060.195,8532.285,0.0,82.498,0.095,134.355,0.154,1.945,4.218,1469.134,1.684,1210.495,1.386,338.112,0.387,287.549,0.33,0.0,0.0,4.448,3.425,7.544,3.725,3.777,2.361,6.042,2.291,19.134,1.44,17.366,2.208,0.0,25.413,2.721,28.649,2.783,0.0,8.622,0.043,0.053,0.103,0.007,3683.872,1698.465,-159.411,-17.712
2003,Africa,895734453.0,35.273,0.039,989.645,989.634,89.649,9.961,2522.337,153.219,6.467,2.82,1.106,390.582,0.437,819.854,819.854,0.917,790.822,26941.43,112169.477,12872.862,2377.888,2041.422,126592.898,8858.436,0.0,91.857,0.103,145.782,0.163,2.059,4.355,1532.704,1.714,1279.045,1.428,351.423,0.392,326.15,0.365,0.0,0.0,4.085,3.577,7.475,3.713,3.79,2.391,6.068,2.318,19.345,1.493,17.432,2.231,0.0,26.662,2.848,25.227,3.076,0.0,8.673,0.044,0.054,0.105,0.007,3900.794,1844.123,-169.791,-17.157
2004,Africa,918778450.0,38.021,0.041,1045.726,1045.715,56.081,5.667,2486.618,-35.72,-1.416,2.71,1.14,417.392,0.455,864.254,864.254,0.942,828.843,27987.156,114656.102,13290.255,2465.912,2194.11,128033.797,9208.035,0.0,88.024,0.096,152.688,0.166,2.079,4.298,1440.903,1.57,1293.109,1.407,355.164,0.387,349.6,0.381,0.0,0.0,4.212,3.652,7.306,3.839,3.807,2.422,6.09,2.347,19.517,1.545,17.5,2.257,0.0,25.696,2.889,26.664,3.179,0.0,8.721,0.045,0.055,0.107,0.007,3948.601,1909.689,-181.472,-17.354
2005,Africa,942546623.0,41.903,0.045,1059.372,1059.361,13.647,1.305,2463.87,-22.748,-0.915,2.618,1.126,412.225,0.438,880.529,880.529,0.936,870.746,29046.527,117119.969,13702.479,2551.781,2377.623,129438.312,9543.898,0.0,85.869,0.091,183.513,0.195,2.057,4.227,1404.509,1.492,1327.578,1.409,373.534,0.396,335.862,0.357,0.0,0.0,4.328,3.577,7.141,3.57,3.83,2.451,6.109,2.372,19.656,1.613,17.574,2.277,0.0,24.683,3.397,28.716,3.024,0.0,8.769,0.046,0.056,0.11,0.008,3984.174,1938.4,-178.844,-16.882
2006,Africa,966932346.0,45.735,0.047,1091.176,1091.165,31.803,3.002,2468.392,4.522,0.184,2.556,1.13,418.61,0.434,936.393,936.393,0.97,916.481,30137.705,119588.359,14121.09,2631.982,2553.87,130815.531,9914.281,0.0,80.201,0.083,176.247,0.183,2.022,4.157,1377.227,1.426,1311.602,1.356,365.727,0.378,370.383,0.384,0.0,0.0,4.332,3.563,6.864,3.433,3.852,2.479,6.123,2.394,19.745,1.67,17.634,2.304,0.0,23.079,3.172,25.829,3.301,0.0,8.807,0.047,0.057,0.112,0.008,4019.547,1955.465,-154.782,-14.185
2007,Africa,992055831.0,49.202,0.05,1116.9,1116.889,25.724,2.357,2523.45,55.057,2.231,2.547,1.127,429.852,0.434,969.982,969.982,0.979,965.683,31254.604,122111.812,14550.941,2702.923,2744.032,132222.094,10291.026,0.0,70.941,0.072,190.162,0.192,1.983,4.12,1406.56,1.42,1320.087,1.331,381.214,0.384,376.744,0.38,0.0,0.0,4.339,3.542,6.985,3.362,3.874,2.506,6.139,2.414,19.768,1.729,17.714,2.33,0.0,20.667,3.301,30.613,3.348,0.0,8.844,0.048,0.058,0.114,0.008,4086.928,1966.984,-146.919,-13.154
2008,Africa,1018065513.0,51.817,0.051,1174.755,1174.744,57.855,5.18,2998.069,474.62,18.808,2.949,1.156,455.481,0.448,1023.797,1023.797,1.007,1017.5,32429.359,125109.875,15006.423,2773.951,2936.816,134045.422,10694.67,0.0,71.028,0.07,192.784,0.19,2.005,4.336,1823.325,1.793,1350.788,1.327,390.552,0.384,403.645,0.397,0.0,0.0,4.51,3.663,8.113,3.45,3.902,2.535,6.175,2.437,19.803,1.784,17.841,2.362,0.0,21.22,3.253,37.361,3.603,0.0,8.891,0.05,0.059,0.117,0.008,4414.531,2041.451,-150.958,-12.85
2009,Africa,1044777740.0,58.049,0.056,1168.25,1168.239,-6.505,-0.554,3184.491,186.422,6.218,3.052,1.12,425.296,0.408,1064.897,1064.897,1.021,1075.548,33597.609,128294.367,15431.719,2840.425,3128.533,136061.672,11121.386,0.0,66.474,0.064,191.717,0.184,1.934,4.31,2016.252,1.932,1331.524,1.274,386.525,0.37,426.715,0.409,0.0,0.0,4.911,3.704,8.65,3.26,3.946,2.563,6.219,2.454,19.81,1.836,17.983,2.398,0.0,20.119,3.315,38.23,3.895,0.0,8.934,0.051,0.06,0.119,0.008,4502.975,2020.617,-103.353,-8.847
2010,Africa,1072216718.0,59.657,0.056,1216.669,1216.658,48.419,4.145,3398.941,214.45,6.734,3.174,1.136,431.407,0.403,1097.266,1097.266,1.025,1135.205,34814.281,131693.312,15863.126,2909.793,3330.44,138243.969,11575.715,0.0,69.368,0.065,201.908,0.189,1.958,4.429,2182.283,2.038,1382.302,1.289,405.558,0.378,454.33,0.424,0.0,0.0,4.723,3.648,8.75,3.092,3.98,2.59,6.266,2.468,19.822,1.885,18.14,2.437,0.0,20.328,3.242,39.765,4.012,0.0,8.971,0.052,0.062,0.122,0.008,4749.242,2099.846,-119.403,-9.814
2011,Africa,1100148882.0,58.925,0.054,1257.421,1257.41,40.752,3.349,3496.274,97.333,2.864,3.182,1.145,424.838,0.387,1159.195,1159.195,1.055,1194.13,36071.699,135189.578,16287.964,2976.933,3550.485,140482.828,12062.188,0.0,67.14,0.061,220.045,0.2,1.942,4.422,2238.864,2.038,1391.057,1.264,415.555,0.378,486.474,0.443,0.0,0.0,4.336,3.644,8.788,2.883,3.996,2.616,6.313,2.477,19.795,1.939,18.307,2.48,0.0,18.687,3.432,42.417,4.282,0.0,9.002,0.053,0.063,0.124,0.009,4864.815,2136.474,-98.226,-7.812
2012,Africa,1128843697.0,63.744,0.057,1268.948,1268.937,11.527,0.917,3424.968,-71.307,-2.04,3.038,1.126,430.713,0.382,1198.988,1198.988,1.064,1257.875,37340.648,138614.547,16718.678,3042.019,3791.757,142638.859,12530.321,0.0,65.086,0.058,241.271,0.214,1.941,4.321,2156.03,1.912,1442.939,1.278,417.875,0.37,468.133,0.415,0.0,0.0,4.57,3.626,8.425,2.889,4.022,2.641,6.352,2.486,19.733,2.0,18.452,2.517,0.0,17.261,3.683,38.147,4.073,0.0,9.033,0.054,0.065,0.127,0.009,4877.841,2191.073,-69.96,-5.513
2013,Africa,1158780551.0,65.686,0.057,1282.542,1282.531,13.594,1.071,3301.052,-123.916,-3.618,2.852,1.108,431.819,0.373,1250.719,1250.719,1.081,1323.56,38623.191,141915.609,17150.496,3104.498,4036.201,144657.359,13008.437,0.0,62.478,0.054,244.444,0.211,1.891,4.193,2018.521,1.744,1434.035,1.238,421.379,0.364,478.114,0.413,0.0,0.0,4.516,3.633,8.167,2.879,4.044,2.665,6.385,2.495,19.647,2.057,18.59,2.553,0.0,16.217,3.711,39.454,4.13,0.0,9.06,0.055,0.066,0.129,0.009,4859.291,2191.387,-31.822,-2.481
2014,Africa,1189220573.0,70.034,0.059,1357.349,1357.338,74.807,5.833,3188.3,-112.752,-3.416,2.685,1.143,445.595,0.375,1333.149,1333.149,1.123,1393.594,39980.539,145103.891,17596.09,3165.435,4283.095,146488.328,13542.324,0.0,60.937,0.051,246.894,0.208,1.914,4.063,1830.962,1.542,1447.458,1.217,421.003,0.354,533.888,0.45,0.0,0.0,4.661,3.829,7.806,2.967,4.071,2.693,6.411,2.505,19.554,2.112,18.696,2.599,0.0,15.758,3.723,33.931,4.6,0.0,9.077,0.055,0.067,0.132,0.009,4832.225,2275.929,-24.2,-1.783
2015,Africa,1220075728.0,74.038,0.061,1332.662,1332.651,-24.687,-1.819,2996.065,-192.234,-6.029,2.459,1.094,423.878,0.348,1341.596,1341.596,1.101,1467.632,41313.203,148099.969,18019.969,3226.758,4545.409,148151.75,14053.433,0.0,61.323,0.05,262.315,0.215,1.852,3.852,1663.414,1.365,1467.377,1.203,429.205,0.352,511.108,0.419,0.0,0.0,5.102,3.764,7.319,2.89,4.113,2.718,6.427,2.513,19.471,2.168,18.776,2.637,0.0,15.969,3.877,30.071,4.32,0.0,9.084,0.056,0.068,0.134,0.009,4700.034,2260.085,8.934,0.67
2016,Africa,1251208654.0,77.352,0.062,1375.131,1375.117,42.47,3.187,3047.598,51.533,1.72,2.439,1.1,431.073,0.345,1362.498,1362.498,1.09,1544.984,42688.332,151147.562,18451.043,3284.661,4824.703,149824.219,14582.941,0.0,57.904,0.046,279.293,0.224,1.836,3.775,1672.482,1.338,1478.882,1.182,443.929,0.355,529.509,0.424,0.0,0.0,5.19,3.883,7.653,3.007,4.156,2.745,6.448,2.522,19.383,2.228,18.882,2.676,0.0,15.481,4.017,37.957,4.426,0.0,9.087,0.057,0.07,0.136,0.01,4723.368,2296.88,-12.633,-0.919
2017,Africa,1282902302.0,75.881,0.059,1393.216,1393.205,18.085,1.315,3269.644,222.045,7.286,2.552,1.087,424.086,0.331,1331.045,1331.045,1.039,1620.865,44081.551,154417.219,18875.127,3344.969,5125.51,151700.672,15115.075,0.0,60.308,0.047,300.807,0.235,1.826,3.764,1876.438,1.465,1508.009,1.175,445.54,0.347,532.134,0.415,0.0,0.0,5.027,3.871,8.129,2.922,4.19,2.77,6.476,2.53,19.298,2.291,19.017,2.713,0.0,15.572,4.22,44.35,4.38,0.0,9.095,0.058,0.071,0.138,0.01,4828.341,2342.641,-62.171,-4.462
2018,Africa,1315409965.0,77.317,0.059,1386.654,1386.643,-6.562,-0.471,2865.312,-404.332,-12.366,2.181,1.055,422.252,0.321,1329.383,1329.383,1.012,1698.182,45468.203,157282.516,19297.381,3404.508,5427.193,153179.344,15640.939,0.0,59.539,0.045,301.683,0.23,1.791,3.529,1478.668,1.126,1533.712,1.166,449.459,0.342,525.864,0.4,0.0,0.0,4.974,3.775,7.062,2.863,4.22,2.793,6.486,2.536,19.191,2.348,19.111,2.747,0.0,14.625,4.038,38.46,4.293,0.0,9.096,0.059,0.072,0.141,0.01,4642.031,2355.424,-57.271,-4.13
2019,Africa,1348005687.0,78.396,0.058,1479.412,1479.397,92.758,6.689,2826.805,-38.507,-1.344,2.1,1.099,462.815,0.344,1404.681,1404.681,1.043,1776.578,46947.613,160109.328,19760.195,3464.959,5743.816,154526.75,16202.065,0.0,60.451,0.045,316.623,0.235,1.831,3.463,1347.407,1.001,1563.945,1.16,452.725,0.336,561.126,0.417,0.0,0.0,4.83,3.987,6.913,3.149,4.244,2.819,6.493,2.548,19.064,2.405,19.188,2.785,0.0,13.888,4.148,35.582,4.521,0.0,9.1,0.059,0.073,0.143,0.01,4668.679,2467.608,-74.731,-5.051
2020,Africa,1380821355.0,76.459,0.055,1355.782,1355.771,-123.629,-8.357,2568.785,-258.019,-9.128,1.863,0.983,433.638,0.314,1318.767,1318.767,0.956,1853.037,48303.398,162678.109,20193.832,3519.728,6040.077,155739.766,16696.721,0.0,54.769,0.04,296.261,0.215,1.668,3.234,1213.014,0.88,1548.806,1.122,471.943,0.342,494.656,0.359,0.0,0.0,4.667,3.86,6.661,3.039,4.26,2.841,6.496,2.557,18.947,2.452,19.257,2.817,0.0,13.656,3.916,35.272,4.513,0.0,9.098,0.06,0.075,0.145,0.01,4465.167,2303.511,-37.016,-2.73
2021,Africa,1413753270.0,84.853,0.06,1441.534,1441.523,85.752,6.325,2691.579,122.794,4.78,1.906,1.021,424.493,0.301,1397.284,1397.284,0.99,1937.89,49744.934,165369.688,20618.326,3576.451,6362.838,156989.812,17249.426,0.0,56.723,0.04,322.761,0.229,1.703,3.257,1250.056,0.885,1567.865,1.109,475.143,0.336,552.703,0.391,0.0,0.0,5.002,3.897,6.639,2.805,4.288,2.863,6.498,2.562,18.841,2.502,19.326,2.855,0.0,13.991,4.074,35.185,4.793,0.0,9.097,0.061,0.076,0.147,0.011,4604.309,2407.912,-44.25,-3.07
2022,Africa,1446883817.0,83.513,0.058,1432.503,1432.492,-9.031,-0.626,2719.051,27.472,1.021,1.882,0.991,404.326,0.28,1367.002,1367.002,0.946,2021.404,51177.434,168088.75,21022.652,3631.206,6682.841,158276.375,17819.33,0.0,54.754,0.038,320.003,0.221,1.661,3.217,1286.559,0.89,1585.524,1.096,486.345,0.336,569.906,0.394,0.0,0.0,5.216,3.841,6.659,2.662,4.32,2.884,6.5,2.563,18.732,2.549,19.4,2.892,0.0,13.586,4.054,36.333,4.785,0.0,9.099,0.062,0.077,0.15,0.011,4654.375,2403.505,-65.501,-4.572
1991,Asia,3268207591.0,262.791,0.08,7361.138,5996.165,776.83,11.798,9044.95,530.196,6.227,2.768,2.252,3377.551,1.033,6674.849,6042.082,2.042,4029.039,137620.328,342176.406,72305.0,3626.214,7706.854,255112.875,48691.051,1260.727,90.147,0.028,652.558,0.2,2.851,4.02,1852.144,0.567,3207.641,0.981,775.862,0.237,2888.34,0.884,0.027,88.314,51.701,31.748,32.124,39.199,31.499,16.539,23.037,16.185,42.895,9.287,38.781,17.45,60.719,32.896,16.87,37.267,29.765,40.959,26.91,0.107,0.149,0.269,0.013,13137.569,9316.19,-686.288,-9.323
